Email,Name,Rubric,Reports,HW,Midterm,Practical,Final,Total Grade
,,Weight,30,10,20,10,30,100
226016@ppu.edu.ps,Ehab ,,29,9,20,9,30,97
226016@ppu.edu,Ahmad,,20,7,17,8,20,72
226016@ppu.edu.ps,Foud,,25,8,12,6,25,76
226016@ppu.edu.ps,Mohammad,,19,5,14,4,19,61
226016@ppu.edu.ps,ABDULLAH,,,4,11,8,20,43
226016@ppu.edu.ps,ANAS,,28,7,13,,28,76
226016@ppu.edu.ps, Hassan,,17,,,7,17,41
226016@ppu.edu.ps,Jamal ,,27,6,9,6,27,75
226016@ppu.edu.ps, Kareem ,,11,3,12,6,11,43
226016@ppu.edu.ps, Omar ,,9,7,10,4,14,44
226016@ppu.edu.ps,Salman ,,15,8,7,3,19,52
